Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,Expected savings,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,State
2,1,2,1,2,1,1,3,0,0,0,1,2,36
0,1,2,0,1,1,2,2,0,0,1,3,3,36
0,0,2,0,1,0,2,3,0,0,1,2,3,36
0,1,2,0,1,2,2,2,0,0,1,1,3,36
0,1,2,0,1,1,2,1,1,0,0,1,3,36
0,0,2,0,2,2,2,1,0,0,0,1,0,38
0,2,1,0,3,2,2,4,0,0,0,0,0,36
0,0,2,0,1,0,2,2,0,0,0,2,0,36
0,1,2,0,3,2,2,2,1,0,0,1,0,36
0,1,2,0,2,0,2,2,1,0,0,1,0,36
0,2,2,0,1,2,2,3,1,0,1,3,0,36
1,1,1,0,1,1,2,4,0,0,1,1,2,36
0,2,2,0,2,2,2,3,0,0,1,1,0,36
0,0,2,0,1,1,2,1,0,0,0,3,0,36
1,1,2,0,2,2,1,2,0,0,1,0,3,2
0,1,2,1,3,2,2,2,1,1,1,1,2,36
0,0,2,0,4,0,2,2,0,0,0,1,0,36
0,1,2,0,1,2,2,1,1,0,1,3,3,36
0,3,2,0,1,2,2,2,0,0,0,0,0,38
0,1,1,0,1,2,2,3,0,1,0,1,0,36
0,0,2,0,1,3,2,4,0,0,2,0,3,36
0,0,2,0,2,1,2,3,1,0,0,1,3,19
0,2,1,1,1,4,2,3,0,0,0,0,2,19
0,1,1,0,5,0,2,3,0,0,0,1,0,17
0,2,1,0,5,1,2,2,0,1,1,1,0,19
0,0,2,0,2,3,2,3,0,0,0,0,2,19
1,0,1,0,1,0,2,0,0,0,0,1,0,19
0,1,2,0,2,2,2,4,0,0,0,1,3,22
1,3,1,0,3,2,2,1,0,0,0,1,3,19
0,0,1,1,4,1,2,3,0,1,1,0,3,17
0,1,2,1,5,2,2,3,0,0,0,1,2,19
1,1,1,0,2,2,2,4,0,0,0,1,0,19
0,1,2,0,3,2,2,3,0,0,1,1,0,36
1,1,1,0,5,2,2,2,0,1,1,1,3,10
0,0,2,0,5,2,2,0,0,0,1,3,2,5
0,1,1,1,3,0,2,2,1,1,0,2,0,22
2,1,1,1,2,1,1,1,0,0,0,2,2,10
0,1,2,0,1,1,2,1,0,0,1,3,2,5
2,1,1,0,5,3,1,3,0,1,0,3,2,36
1,3,2,0,1,1,2,2,0,0,0,1,3,22
0,1,1,0,3,2,2,1,1,1,1,1,3,22
0,0,1,0,3,2,2,0,0,0,1,0,0,22
2,2,1,0,1,3,1,3,0,0,0,3,2,22
0,1,1,0,5,4,2,0,0,0,1,0,0,22
1,3,1,0,4,2,2,2,0,2,0,1,2,22
0,1,1,0,2,1,2,1,0,0,3,0,0,36
2,1,1,0,5,4,1,4,1,0,3,1,0,5
1,0,1,0,3,2,2,3,0,0,1,2,2,22
2,3,1,0,1,0,1,2,0,0,0,3,3,22
2,1,1,0,5,2,1,2,0,0,1,2,2,36
1,1,2,0,3,2,1,3,1,0,2,1,3,21
2,3,1,1,5,2,1,2,0,0,0,3,0,22
2,2,2,1,2,3,1,4,0,0,0,3,2,22
0,0,1,1,3,1,2,3,1,0,0,3,3,22
0,3,1,0,5,1,2,1,0,1,0,1,2,10
0,0,2,0,3,1,2,0,0,0,1,0,2,21
1,2,1,0,5,2,1,2,1,3,1,3,3,22
2,3,2,1,3,2,1,3,0,1,0,3,2,22
2,2,1,0,3,0,1,3,0,0,0,3,0,22
2,2,2,1,3,1,1,2,0,0,0,3,2,10
0,1,1,0,3,2,2,1,0,0,1,0,0,10
1,1,1,0,4,0,2,0,1,0,1,2,0,22
1,3,1,1,1,3,1,4,0,0,3,3,2,22
2,2,1,0,2,4,1,3,0,1,1,2,3,22
2,1,1,1,5,4,1,3,0,0,1,2,0,22
2,3,1,1,3,3,1,3,0,0,0,3,0,12
1,1,1,0,5,1,1,3,1,0,0,1,3,21
2,3,1,1,3,2,1,3,0,3,0,3,2,21
2,0,1,1,3,4,1,3,0,1,2,3,3,22
2,3,1,0,4,1,1,4,0,1,1,3,2,19
0,0,1,0,3,2,2,3,0,0,1,1,2,17
0,2,1,0,3,0,2,1,0,0,0,1,0,22
3,1,1,1,4,1,1,2,0,0,1,1,3,10
1,3,1,0,1,1,2,1,0,1,0,3,0,22
1,1,1,0,2,2,1,2,1,0,0,1,2,22
2,1,2,1,3,4,1,2,0,0,0,0,0,22
2,1,2,1,5,1,1,1,0,0,0,1,2,22
0,2,2,1,4,1,2,2,0,0,1,0,2,10
0,2,1,0,3,1,2,2,0,0,1,1,2,5
3,1,1,0,1,4,1,4,0,1,1,2,2,22
2,1,1,1,5,3,1,3,0,1,0,1,2,17
0,1,1,0,3,3,2,1,0,0,2,2,2,19
