Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
2,1,2,Yes,2,21% - 30%,1,3,0,0,0,1,2,36
0,1,2,No,1,21% - 30%,2,2,0,0,1,3,3,36
0,0,2,No,1,10% - 20%,2,3,0,0,1,2,3,36
0,1,2,No,1,31% - 40%,2,2,0,0,1,1,3,36
0,1,2,No,1,21% - 30%,2,1,1,0,0,1,3,36
0,0,2,No,2,31% - 40%,2,1,0,0,0,1,0,38
0,2,1,No,3,31% - 40%,2,4,0,0,0,0,0,36
0,0,2,No,1,10% - 20%,2,2,0,0,0,2,0,36
0,1,2,No,3,31% - 40%,2,2,1,0,0,1,0,36
0,1,2,No,2,10% - 20%,2,2,1,0,0,1,0,36
0,2,2,No,1,31% - 40%,2,3,1,0,1,3,0,36
1,1,1,No,1,21% - 30%,2,4,0,0,1,1,2,36
0,2,2,No,2,31% - 40%,2,3,0,0,1,1,0,36
0,0,2,No,1,21% - 30%,2,1,0,0,0,3,0,36
1,1,2,No,2,31% - 40%,1,2,0,0,1,0,3,2
0,1,2,Yes,3,31% - 40%,2,2,1,1,1,1,2,36
0,0,2,No,4,10% - 20%,2,2,0,0,0,1,0,36
0,1,2,No,1,31% - 40%,2,1,1,0,1,3,3,36
0,3,2,No,1,31% - 40%,2,2,0,0,0,0,0,38
0,1,1,No,1,31% - 40%,2,3,0,1,0,1,0,36
0,0,2,No,1,41% - 50%,2,4,0,0,2,0,3,36
0,0,2,No,2,21% - 30%,2,3,1,0,0,1,3,19
0,2,1,Yes,1,>50%,2,3,0,0,0,0,2,19
0,1,1,No,5,10% - 20%,2,3,0,0,0,1,0,17
0,2,1,No,5,21% - 30%,2,2,0,1,1,1,0,19
0,0,2,No,2,41% - 50%,2,3,0,0,0,0,2,19
1,0,1,No,1,10% - 20%,2,0,Rent,0,0,1,0,19
0,1,2,No,2,31% - 40%,2,4,0,0,0,1,3,22
1,3,1,No,3,31% - 40%,2,1,0,0,0,1,3,19
0,0,1,Yes,4,21% - 30%,2,3,0,1,1,0,3,17
0,1,2,Yes,5,31% - 40%,2,3,0,0,0,1,2,19
1,1,1,No,2,31% - 40%,2,4,0,0,0,1,0,19
0,1,2,No,3,31% - 40%,2,3,0,0,1,1,0,36
1,1,1,No,5,31% - 40%,2,2,0,1,1,1,3,10
0,0,2,No,5,31% - 40%,2,0,0,0,1,3,2,5
0,1,1,Yes,3,10% - 20%,2,2,1,1,0,2,0,22
2,1,1,Yes,2,21% - 30%,1,1,0,0,0,2,2,10
0,1,2,No,1,21% - 30%,2,1,0,0,1,3,2,5
2,2,1,Yes,4,10% - 20%,2,1,0,0,1,2,2,Nasik
2,1,1,No,5,41% - 50%,1,3,0,1,0,3,2,36
1,3,2,No,1,21% - 30%,2,2,0,0,0,1,3,22
0,1,1,No,3,31% - 40%,2,1,1,1,1,1,3,22
0,0,1,No,3,31% - 40%,2,0,0,0,1,0,0,22
2,2,1,No,1,41% - 50%,1,3,0,0,0,3,2,22
0,1,1,No,5,>50%,2,0,0,0,1,0,0,22
1,3,1,No,4,31% - 40%,2,2,0,2,0,1,2,22
0,1,1,No,2,21% - 30%,2,1,0,0,3,0,0,36
2,1,1,No,5,>50%,1,4,1,0,3,1,0,5
1,0,1,No,3,31% - 40%,2,3,0,0,1,2,2,22
2,3,1,No,1,10% - 20%,1,2,0,0,0,3,3,22
2,1,1,No,5,31% - 40%,1,2,0,0,1,2,2,36
1,1,2,No,3,31% - 40%,1,3,1,0,2,1,3,21
2,3,1,Yes,5,31% - 40%,1,2,0,0,0,3,0,22
2,2,2,Yes,2,41% - 50%,1,4,0,0,0,3,2,22
0,0,1,Yes,3,21% - 30%,2,3,1,0,0,3,3,22
0,3,1,No,5,21% - 30%,2,1,0,1,0,1,2,10
0,0,2,No,3,21% - 30%,2,0,0,0,1,0,2,21
1,2,1,No,5,31% - 40%,1,2,1,3,1,3,3,22
2,3,2,Yes,3,31% - 40%,1,3,0,1,0,3,2,22
2,2,1,No,3,10% - 20%,1,3,0,0,0,3,0,22
2,2,2,Yes,3,21% - 30%,1,2,0,0,0,3,2,10
0,1,1,No,3,31% - 40%,2,1,0,0,1,0,0,10
1,1,1,No,4,10% - 20%,2,0,1,0,1,2,0,22
1,3,1,Yes,1,41% - 50%,1,4,0,0,3,3,2,22
2,2,1,No,2,>50%,1,3,0,1,1,2,3,22
2,3,1,Yes,5,41% - 50%,1,4,0,2,2,3,2,Nasik
2,1,1,Yes,5,>50%,1,3,0,0,1,2,0,22
2,3,1,Yes,3,41% - 50%,1,3,0,0,0,3,0,12
1,1,1,No,5,21% - 30%,1,3,1,0,0,1,3,21
2,3,1,Yes,3,31% - 40%,1,3,Rented,3,0,3,2,21
2,0,1,Yes,3,>50%,1,3,0,1,2,3,3,22
1,3,2,Yes,3,>50%,1,3,0,2,1,3,2,DeolaliCamp(Nasik)
2,3,1,No,4,21% - 30%,1,4,0,1,1,3,2,19
0,0,1,No,3,31% - 40%,2,3,0,0,1,1,2,17
0,2,1,No,3,10% - 20%,2,1,0,0,0,1,0,22
3,1,1,Yes,4,21% - 30%,1,2,0,0,1,1,3,10
1,3,1,No,1,21% - 30%,2,1,0,1,0,3,0,22
1,1,1,No,2,31% - 40%,1,2,1,0,0,1,2,22
2,1,2,Yes,3,>50%,1,2,0,0,0,0,0,22
2,1,2,Yes,5,21% - 30%,1,1,0,0,0,1,2,22
0,2,2,Yes,4,21% - 30%,2,2,0,0,1,0,2,10
0,2,1,No,3,21% - 30%,2,2,0,0,1,1,2,5
3,1,1,No,1,>50%,1,4,0,1,1,2,2,22
2,1,1,Yes,5,41% - 50%,1,3,0,1,0,1,2,17
0,1,1,No,3,41% - 50%,2,1,0,0,2,2,2,19
1,2,1,No,3,21% - 30%,2,1,0,1,1,0,2,17
0,3,2,No,5,21% - 30%,2,3,0,1,1,0,2,17
0,2,2,Yes,5,21% - 30%,2,4,0,0,0,1,2,Vizag
0,3,2,No,5,21% - 30%,2,4,0,2,2,0,2,38
0,1,1,Yes,5,21% - 30%,2,4,0,0,1,1,3,Pen.
2,0,1,No,4,31% - 40%,1,2,0,0,0,3,0,38
0,1,2,No,4,31% - 40%,2,4,1,0,0,3,2,29
0,3,2,No,3,41% - 50%,2,3,0,0,2,0,0,36
0,0,2,No,1,>50%,2,3,0,0,0,2,0,10
0,0,2,No,2,21% - 30%,2,1,0,0,0,0,0,10
0,0,1,No,5,>50%,2,1,0,0,1,2,2,10
0,1,2,Yes,2,>50%,2,4,0,0,1,1,3,10
0,0,2,No,2,10% - 20%,2,1,0,0,0,1,3,10
0,0,1,No,5,>50%,2,3,1,0,1,1,3,10
0,1,2,No,3,41% - 50%,2,4,1,0,0,1,0,10
0,0,2,No,2,31% - 40%,2,1,0,0,0,3,2,10
0,1,1,No,1,10% - 20%,2,3,0,0,3,1,3,NorthWest
0,0,1,No,3,10% - 20%,2,0,0,0,0,0,0,10
0,0,1,No,2,21% - 30%,1,4,0,0,1,0,0,10
0,0,1,No,1,10% - 20%,2,0,0,0,3,0,3,36
0,3,1,No,3,31% - 40%,2,3,0,1,3,1,3,22
1,1,2,No,3,21% - 30%,1,3,0,0,0,1,0,22
0,2,2,No,4,21% - 30%,2,1,0,0,3,1,2,17
1,1,1,No,4,31% - 40%,1,2,1,1,2,1,3,36
2,1,2,No,3,21% - 30%,1,4,1,0,0,1,3,22
1,2,1,No,5,21% - 30%,1,1,0,0,0,1,3,10
0,1,1,No,1,10% - 20%,2,2,0,0,0,1,0,10
0,3,1,No,5,>50%,2,3,1,3,2,1,3,19
1,1,1,No,3,10% - 20%,2,3,0,0,0,1,0,Ulwe
1,1,2,No,2,>50%,2,3,0,1,1,1,2,39
0,0,1,No,1,10% - 20%,2,4,0,0,0,3,0,39
0,1,2,No,3,>50%,2,4,0,0,1,2,3,5
0,0,1,No,2,10% - 20%,2,4,0,0,2,2,0,38
0,2,2,No,5,21% - 30%,2,4,1,0,0,1,3,39
0,1,2,No,2,31% - 40%,2,3,0,0,0,3,2,5
0,1,2,No,4,10% - 20%,2,3,0,0,2,1,2,39
0,0,2,No,4,10% - 20%,2,3,0,0,0,0,0,10
0,0,1,No,1,21% - 30%,2,3,1,0,2,1,3,5
2,3,2,Yes,5,31% - 40%,1,3,1,1,1,3,0,5
0,0,1,No,5,10% - 20%,2,4,1,0,3,0,3,16
0,1,2,Yes,5,10% - 20%,2,2,1,0,1,3,3,39
0,0,1,Yes,1,10% - 20%,2,0,1,0,0,1,0,39
0,0,1,Yes,4,10% - 20%,1,0,1,0,0,1,0,22
1,1,1,No,4,10% - 20%,2,1,0,0,0,2,0,5
0,3,2,No,1,10% - 20%,2,4,0,0,1,0,0,5
1,1,1,Yes,2,31% - 40%,1,1,0,0,1,1,2,5
2,1,2,No,1,>50%,1,1,0,0,1,0,0,Dalsingsarai
0,2,2,No,3,>50%,2,4,0,0,1,3,3,5
1,1,2,No,1,10% - 20%,1,3,0,0,0,0,3,36
0,1,1,No,2,31% - 40%,2,2,0,0,1,2,3,10
1,1,1,No,1,21% - 30%,1,4,0,0,0,1,0,5
0,1,1,No,3,10% - 20%,2,1,1,0,1,1,3,10
0,3,2,No,5,21% - 30%,2,3,0,0,2,0,0,5
2,0,2,No,1,10% - 20%,1,1,0,0,0,0,3,10
0,0,1,No,3,10% - 20%,2,3,1,0,0,0,3,10
0,0,1,No,2,10% - 20%,2,3,0,0,0,3,3,10
0,1,1,No,4,31% - 40%,2,3,0,0,0,1,0,10
2,1,1,No,2,10% - 20%,1,4,0,0,0,2,3,Mujjafarpur
0,0,2,No,5,10% - 20%,2,4,Other ,0,0,0,3,5
0,1,1,No,5,>50%,2,3,0,0,0,3,0,5
0,3,1,No,5,41% - 50%,2,1,1,0,3,3,3,5
0,1,1,No,5,21% - 30%,2,3,0,0,0,0,3,38
0,0,1,No,5,41% - 50%,2,4,0,0,2,1,3,22
0,1,1,No,5,10% - 20%,2,2,0,0,0,0,3,5
0,1,1,No,4,31% - 40%,2,4,1,1,1,3,3,19
0,3,2,No,3,31% - 40%,2,2,0,1,1,0,2,5
0,0,2,No,4,>50%,2,3,1,0,3,1,0,5
0,1,2,No,5,>50%,2,4,0,0,1,1,2,36
0,0,1,No,1,10% - 20%,0,1,0,0,0,0,3,19
0,0,2,Yes,2,31% - 40%,2,2,0,0,0,0,0,5
2,0,1,No,5,>50%,1,3,1,0,3,2,3,5
0,1,1,No,3,31% - 40%,2,4,1,1,1,0,0,5
0,1,1,No,4,41% - 50%,2,2,1,1,1,1,0,Bgp
0,0,1,No,4,>50%,2,4,1,0,2,0,2,36
0,1,1,No,1,31% - 40%,2,4,1,0,1,1,0,17
1,3,2,No,5,41% - 50%,2,1,0,1,3,1,3,5
0,3,1,No,5,41% - 50%,2,4,1,2,2,2,2,22
0,1,1,No,2,41% - 50%,2,4,0,0,2,0,2,41
0,0,2,No,1,31% - 40%,2,3,1,0,0,1,2,5
0,1,2,No,3,21% - 30%,2,3,0,0,0,3,0,5
0,1,1,No,3,10% - 20%,2,3,1,0,1,1,0,21
0,0,1,No,4,31% - 40%,2,2,1,1,2,1,3,5
0,0,2,No,5,>50%,2,3,1,0,3,2,3,5
0,1,1,No,4,21% - 30%,2,3,0,0,0,1,3,38
0,0,1,No,5,>50%,2,4,0,0,2,2,3,16
0,1,1,No,1,10% - 20%,2,3,0,0,1,1,2,22
0,1,1,Yes,5,31% - 40%,2,3,0,0,2,1,0,10
1,3,2,No,5,>50%,2,1,0,0,1,1,0,Anoopshahr
1,1,1,No,5,31% - 40%,2,3,0,0,3,1,0,39
0,1,2,No,5,21% - 30%,2,4,1,0,1,1,0,17
1,3,2,No,3,31% - 40%,2,4,0,2,1,1,3,5
1,1,1,No,1,41% - 50%,2,4,0,0,2,1,2,5
0,0,2,No,1,10% - 20%,2,3,1,0,0,1,3,5
0,0,1,No,3,21% - 30%,2,4,0,0,2,1,3,19
0,0,1,No,4,21% - 30%,2,2,1,1,2,1,2,38
0,0,1,No,5,>50%,2,3,0,0,2,3,0,Haldor
0,0,1,No,1,41% - 50%,2,4,0,3,2,3,0,19
0,3,2,No,2,41% - 50%,2,2,0,0,0,1,2,19
0,0,2,Yes,3,10% - 20%,2,1,0,0,0,0,3,19
0,2,2,No,3,21% - 30%,2,2,0,0,1,1,0,Noorpur
0,2,2,No,5,21% - 30%,2,2,0,0,1,0,2,22
1,3,1,No,3,10% - 20%,2,1,1,0,3,1,0,36
1,1,2,No,1,21% - 30%,2,2,0,0,0,1,3,36
0,1,2,No,3,41% - 50%,2,3,1,0,2,1,3,22
1,1,2,No,2,21% - 30%,1,1,1,0,1,2,2,7
2,0,1,Yes,5,31% - 40%,1,4,0,2,1,2,3,17
0,1,1,No,5,41% - 50%,2,3,0,1,0,0,0,36
1,1,2,No,2,21% - 30%,1,2,0,0,1,1,3,36
1,2,2,No,3,31% - 40%,1,3,0,0,1,1,2,Pipalda
0,1,1,No,3,21% - 30%,2,4,0,3,0,2,0,19
0,1,1,No,3,21% - 30%,2,3,0,0,0,3,0,22
1,1,2,No,1,10% - 20%,1,3,0,0,1,1,3,22
0,1,1,No,4,21% - 30%,2,3,0,0,0,1,3,Publicity
