Age,Monthy Earnings,Gender,Home Loan,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
15-25,70000- 1 lakh,Female,,1,21% - 30%,Single,3,,50000- 1 Lac,,Private,Saving 1000+/month saving on electricity bill after spending 55000/KW,
15-25,20000 - 70000,Male,No,3,21% - 30%,Single,4,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,Less than 20000,Male,No,5,31% - 40%,Single,4,No,50000- 1 Lac,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,1 lakh +,Female,No,4,>50%,Single,1,No,1 Lac - 2 Lacs,51-75%,NGO,Saving 1000+/month saving on electricity bill after spending 45000/KW,
25-35,20000 - 70000,Female,Yes,3,21% - 30%,Single,4,No,50000- 1 Lac,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
25-35,20000 - 70000,Male,No,2,10% - 20%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,20000 - 70000,Male,No,2,31% - 40%,Single,5+,No,Less than 50000,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,20000 - 70000,Male,No,3,21% - 30%,Single,3,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,20000 - 70000,Female,No,3,31% - 40%,Single,1,Yes,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,70000- 1 lakh,Male,No,4,31% - 40%,Single,4,Yes,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
25-35,20000 - 70000,Female,Yes,3,21% - 30%,Single,4,No,Less than 50000,51-75%,Private,No I'd not like to buy solar,
