Picked the phone,Reason Why Phone is not picked
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
No,Busy on another call
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes but mentioned to call later,
Yes,
Yes,
Yes,
No,Busy on another call
Yes but mentioned to call later,
No,Not Picked the Call
No,Not Picked the Call
Yes but mentioned to call later,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes,
Yes but mentioned to call later,
No,Not reachable at the moment
No,Switch-Off
No,Not reachable at the moment
Yes but mentioned to call later,
No,Not reachable at the moment
Yes,
Yes,
No,Not reachable at the moment
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
,
No,not pickup the call 
Yes but mentioned to call later,
,
No,Not reachable at the moment
,
,
No,Switch-Off
Yes but mentioned to call later,
Yes but mentioned to call later,
No,not pickup the call 
No,Busy on another call
No,Not reachable at the moment
No,Busy on another call
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes,
Yes,
,
Yes,
Yes,
No,Temporarily Out of Service
No,Not reachable at the moment
Yes but mentioned to call later,
No,Not Picked the Call
,
Yes but mentioned to call later,
Yes,
No,Not Picked the Call
No,Not reachable at the moment
,
,
,
,
,
,
Yes,
Yes,
,
Yes,
No,Not Picked the Call
,
Yes but mentioned to call later,
,
No,Switch-Off
Yes,
No,Busy on another call
Yes,
No,Not Picked the Call
No,Not Picked the Call
,
No,Not Picked the Call
No,Not Picked the Call
No,Switch-Off
Yes,
,
,
No,Not Picked the Call
No,Not reachable at the moment
Yes,
Yes,
,
No,Not Picked the Call
No,Not Picked the Call
Yes,
No,Switch-Off
Yes,
Yes,
No,Not Picked the Call
Yes but mentioned to call later,
No,Not reachable at the moment
No,Not reachable at the moment
Yes,
No,Busy on another call
Yes but mentioned to call later,
No,Not Picked the Call
Yes,
No,Switch-Off
No,Not reachable at the moment
No,Switch-Off
Yes,
Yes,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes,
,
Yes but mentioned to call later,
No,Not Picked the Call
No,Busy on another call
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Busy on another call
No,Switch-Off
No,Not Picked the Call
,
Yes but mentioned to call later,
No,Not Picked the Call
Yes,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Not Picked the Call
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
,
No,Busy on another call
,
Yes,
No,Not Picked the Call
,
No,Not Picked the Call
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Busy on another call
No,Not Picked the Call
Yes,
No,Busy on another call
,
Yes but mentioned to call later,
Yes,
Yes,
No,Not Picked the Call
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Busy on another call
No,Busy on another call
Yes,
Yes but mentioned to call later,
Yes,
,
,
No,Busy on another call
No,Not Picked the Call
No,Busy on another call
No,Not reachable at the moment
Yes but mentioned to call later,
No,Not Picked the Call
Yes but mentioned to call later,
No,Not Picked the Call
No,Switch-Off
No,Not Picked the Call
No,Not Picked the Call
,
No,Switch-Off
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
,
No,Not Picked the Call
Yes,
,
No,Not reachable at the moment
No,Not Picked the Call
Yes but mentioned to call later,
No,Not Picked the Call
No,Not Picked the Call
No,Switch-Off
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Not Picked the Call
No,Not Picked the Call
,
No,Not Picked the Call
Yes but mentioned to call later,
No,Not reachable at the moment
,
No,Not Picked the Call
No,Not reachable at the moment
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Busy on another call
No,Not reachable at the moment
,
No,Busy on another call
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Busy on another call
No,Busy on another call
Yes but mentioned to call later,
No,Busy on another call
No,Switch-Off
No,Temporarily Out of Service
Yes but mentioned to call later,
No,Not reachable at the moment
No,Busy on another call
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Busy on another call
Yes,
Yes but mentioned to call later,
No,Not Picked the Call
Yes but mentioned to call later,
Yes,
No,Switch-Off
Yes but mentioned to call later,
No,Not Picked the Call
Yes but mentioned to call later,
Yes,
Yes,
No,Not Picked the Call
No,Switch-Off
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Not Picked the Call
No,Busy on another call
No,Not Picked the Call
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Not reachable at the moment
Yes but mentioned to call later,
No,Not Picked the Call
No,Not reachable at the moment
Yes but mentioned to call later,
No,Not reachable at the moment
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Not Picked the Call
Yes but mentioned to call later,
Yes but mentioned to call later,
No,Not Picked the Call
No,Not Picked the Call
No,Not Picked the Call
,
Yes,
Yes,
No,Not Picked the Call
No,Not Picked the Call
No,Busy on another call
No,Switch-Off
No,Not Picked the Call
No,Busy on another call
No,Not Picked the Call
No,Not Picked the Call
Yes but mentioned to call later,
No,Switch-Off
No,Not Picked the Call
No,Not reachable at the moment
No,Not reachable at the moment
No,Not Picked the Call
No,Not reachable at the moment
Yes but mentioned to call later,
Yes,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes but mentioned to call later,
Yes,
No,Not Picked the Call
Yes but mentioned to call later,
No,Not Picked the Call
Yes but mentioned to call later,
Yes,
