How much do you expect to at least save on your average electricity bill by installing a solar panel system?
21% - 30%
21% - 30%
31% - 40%
>50%
21% - 30%
10% - 20%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
>50%
41% - 50%
31% - 40%
41% - 50%
31% - 40%
21% - 30%
>50%
31% - 40%
21% - 30%
21% - 30%
10% - 20%
31% - 40%
31% - 40%
21% - 30%
41% - 50%
>50%
31% - 40%
31% - 40%
31% - 40%
21% - 30%
41% - 50%
>50%
>50%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
41% - 50%
21% - 30%
21% - 30%
10% - 20%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
31% - 40%
10% - 20%
31% - 40%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
31% - 40%
31% - 40%
31% - 40%
41% - 50%
21% - 30%
>50%
10% - 20%
21% - 30%
41% - 50%
10% - 20%
31% - 40%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
31% - 40%
31% - 40%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
10% - 20%
41% - 50%
21% - 30%
31% - 40%
31% - 40%
41% - 50%
>50%
31% - 40%
21% - 30%
>50%
31% - 40%
10% - 20%
31% - 40%
31% - 40%
31% - 40%
41% - 50%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
21% - 30%
31% - 40%
10% - 20%
41% - 50%
>50%
41% - 50%
>50%
41% - 50%
21% - 30%
31% - 40%
>50%
>50%
21% - 30%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
31% - 40%
>50%
21% - 30%
21% - 30%
21% - 30%
>50%
41% - 50%
41% - 50%
21% - 30%
21% - 30%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
41% - 50%
>50%
21% - 30%
>50%
>50%
10% - 20%
>50%
41% - 50%
31% - 40%
10% - 20%
10% - 20%
21% - 30%
10% - 20%
31% - 40%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
10% - 20%
>50%
10% - 20%
>50%
10% - 20%
>50%
10% - 20%
21% - 30%
31% - 40%
10% - 20%
10% - 20%
21% - 30%
31% - 40%
10% - 20%
10% - 20%
10% - 20%
10% - 20%
10% - 20%
10% - 20%
31% - 40%
>50%
>50%
10% - 20%
31% - 40%
21% - 30%
10% - 20%
21% - 30%
10% - 20%
10% - 20%
10% - 20%
31% - 40%
10% - 20%
10% - 20%
>50%
41% - 50%
21% - 30%
41% - 50%
10% - 20%
31% - 40%
31% - 40%
>50%
>50%
10% - 20%
31% - 40%
>50%
31% - 40%
41% - 50%
>50%
31% - 40%
41% - 50%
41% - 50%
41% - 50%
31% - 40%
21% - 30%
10% - 20%
31% - 40%
>50%
21% - 30%
>50%
10% - 20%
31% - 40%
>50%
31% - 40%
21% - 30%
31% - 40%
41% - 50%
10% - 20%
21% - 30%
21% - 30%
>50%
41% - 50%
41% - 50%
10% - 20%
21% - 30%
21% - 30%
10% - 20%
21% - 30%
41% - 50%
21% - 30%
31% - 40%
41% - 50%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
10% - 20%
21% - 30%
>50%
31% - 40%
41% - 50%
10% - 20%
>50%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
10% - 20%
>50%
21% - 30%
10% - 20%
21% - 30%
>50%
31% - 40%
31% - 40%
31% - 40%
21% - 30%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
>50%
31% - 40%
21% - 30%
21% - 30%
31% - 40%
41% - 50%
10% - 20%
10% - 20%
21% - 30%
10% - 20%
10% - 20%
10% - 20%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
41% - 50%
>50%
41% - 50%
31% - 40%
10% - 20%
10% - 20%
21% - 30%
41% - 50%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
21% - 30%
21% - 30%
41% - 50%
21% - 30%
10% - 20%
21% - 30%
21% - 30%
21% - 30%
10% - 20%
41% - 50%
10% - 20%
21% - 30%
21% - 30%
>50%
31% - 40%
10% - 20%
21% - 30%
>50%
31% - 40%
10% - 20%
10% - 20%
10% - 20%
31% - 40%
21% - 30%
31% - 40%
10% - 20%
21% - 30%
10% - 20%
10% - 20%
10% - 20%
>50%
31% - 40%
31% - 40%
31% - 40%
10% - 20%
10% - 20%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
10% - 20%
31% - 40%
21% - 30%
41% - 50%
31% - 40%
41% - 50%
31% - 40%
21% - 30%
21% - 30%
10% - 20%
21% - 30%
>50%
>50%
31% - 40%
41% - 50%
41% - 50%
41% - 50%
31% - 40%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
41% - 50%
>50%
41% - 50%
>50%
31% - 40%
10% - 20%
41% - 50%
10% - 20%
31% - 40%
41% - 50%
>50%
41% - 50%
41% - 50%
10% - 20%
10% - 20%
31% - 40%
41% - 50%
41% - 50%
21% - 30%
21% - 30%
41% - 50%
41% - 50%
41% - 50%
10% - 20%
10% - 20%
31% - 40%
10% - 20%
10% - 20%
41% - 50%
41% - 50%
10% - 20%
10% - 20%
41% - 50%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
10% - 20%
31% - 40%
21% - 30%
10% - 20%
>50%
21% - 30%
>50%
21% - 30%
41% - 50%
41% - 50%
>50%
41% - 50%
31% - 40%
21% - 30%
31% - 40%
41% - 50%
31% - 40%
41% - 50%
10% - 20%
>50%
31% - 40%
>50%
41% - 50%
41% - 50%
31% - 40%
21% - 30%
31% - 40%
41% - 50%
31% - 40%
31% - 40%
31% - 40%
31% - 40%
21% - 30%
10% - 20%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
41% - 50%
21% - 30%
21% - 30%
10% - 20%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
10% - 20%
>50%
31% - 40%
10% - 20%
10% - 20%
41% - 50%
21% - 30%
>50%
21% - 30%
31% - 40%
31% - 40%
31% - 40%
10% - 20%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
10% - 20%
31% - 40%
>50%
31% - 40%
31% - 40%
21% - 30%
41% - 50%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
41% - 50%
21% - 30%
10% - 20%
>50%
21% - 30%
41% - 50%
10% - 20%
41% - 50%
21% - 30%
31% - 40%
31% - 40%
31% - 40%
>50%
21% - 30%
41% - 50%
21% - 30%
21% - 30%
21% - 30%
>50%
21% - 30%
31% - 40%
>50%
21% - 30%
10% - 20%
>50%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
10% - 20%
31% - 40%
21% - 30%
>50%
41% - 50%
10% - 20%
31% - 40%
31% - 40%
21% - 30%
41% - 50%
21% - 30%
31% - 40%
10% - 20%
21% - 30%
31% - 40%
31% - 40%
41% - 50%
10% - 20%
41% - 50%
21% - 30%
41% - 50%
31% - 40%
31% - 40%
41% - 50%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
>50%
10% - 20%
31% - 40%
>50%
>50%
10% - 20%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
41% - 50%
41% - 50%
31% - 40%
10% - 20%
>50%
21% - 30%
>50%
41% - 50%
31% - 40%
21% - 30%
10% - 20%
10% - 20%
31% - 40%
41% - 50%
>50%
21% - 30%
41% - 50%
21% - 30%
10% - 20%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
21% - 30%
>50%
>50%
10% - 20%
10% - 20%
41% - 50%
21% - 30%
>50%
31% - 40%
>50%
41% - 50%
41% - 50%
>50%
41% - 50%
31% - 40%
31% - 40%
31% - 40%
10% - 20%
41% - 50%
10% - 20%
21% - 30%
21% - 30%
21% - 30%
>50%
>50%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
10% - 20%
>50%
10% - 20%
41% - 50%
41% - 50%
31% - 40%
41% - 50%
10% - 20%
31% - 40%
>50%
21% - 30%
10% - 20%
21% - 30%
21% - 30%
>50%
31% - 40%
>50%
31% - 40%
21% - 30%
>50%
10% - 20%
>50%
10% - 20%
10% - 20%
41% - 50%
21% - 30%
10% - 20%
31% - 40%
41% - 50%
31% - 40%
31% - 40%
41% - 50%
>50%
10% - 20%
41% - 50%
10% - 20%
>50%
41% - 50%
31% - 40%
31% - 40%
10% - 20%
31% - 40%
>50%
10% - 20%
>50%
31% - 40%
>50%
21% - 30%
21% - 30%
41% - 50%
>50%
>50%
31% - 40%
10% - 20%
31% - 40%
>50%
41% - 50%
31% - 40%
21% - 30%
31% - 40%
10% - 20%
31% - 40%
10% - 20%
41% - 50%
21% - 30%
31% - 40%
>50%
31% - 40%
10% - 20%
21% - 30%
41% - 50%
10% - 20%
10% - 20%
31% - 40%
>50%
10% - 20%
10% - 20%
21% - 30%
31% - 40%
41% - 50%
21% - 30%
>50%
31% - 40%
21% - 30%
10% - 20%
>50%
31% - 40%
41% - 50%
21% - 30%
21% - 30%
10% - 20%
21% - 30%
10% - 20%
21% - 30%
10% - 20%
41% - 50%
31% - 40%
31% - 40%
41% - 50%
41% - 50%
21% - 30%
21% - 30%
21% - 30%
41% - 50%
10% - 20%
21% - 30%
21% - 30%
21% - 30%
41% - 50%
>50%
21% - 30%
41% - 50%
31% - 40%
21% - 30%
10% - 20%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
41% - 50%
31% - 40%
21% - 30%
21% - 30%
10% - 20%
31% - 40%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
31% - 40%
31% - 40%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
10% - 20%
31% - 40%
>50%
31% - 40%
10% - 20%
>50%
41% - 50%
>50%
41% - 50%
21% - 30%
41% - 50%
31% - 40%
10% - 20%
>50%
31% - 40%
41% - 50%
21% - 30%
21% - 30%
21% - 30%
21% - 30%
41% - 50%
21% - 30%
21% - 30%
>50%
21% - 30%
21% - 30%
10% - 20%
>50%
10% - 20%
>50%
21% - 30%
10% - 20%
21% - 30%
31% - 40%
>50%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
21% - 30%
>50%
31% - 40%
10% - 20%
31% - 40%
41% - 50%
10% - 20%
41% - 50%
10% - 20%
21% - 30%
31% - 40%
21% - 30%
>50%
>50%
>50%
21% - 30%
31% - 40%
21% - 30%
>50%
31% - 40%
>50%
41% - 50%
10% - 20%
10% - 20%
41% - 50%
21% - 30%
31% - 40%
31% - 40%
31% - 40%
41% - 50%
41% - 50%
21% - 30%
>50%
>50%
10% - 20%
31% - 40%
10% - 20%
21% - 30%
>50%
31% - 40%
41% - 50%
>50%
41% - 50%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
>50%
31% - 40%
21% - 30%
31% - 40%
10% - 20%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
21% - 30%
41% - 50%
31% - 40%
31% - 40%
21% - 30%
10% - 20%
10% - 20%
31% - 40%
21% - 30%
31% - 40%
31% - 40%
>50%
21% - 30%
41% - 50%
31% - 40%
21% - 30%
21% - 30%
21% - 30%
31% - 40%
21% - 30%
10% - 20%
31% - 40%
10% - 20%
21% - 30%
41% - 50%
21% - 30%
31% - 40%
21% - 30%
